original_path,filename,file_size_bytes,sha256,tensor_content_sha256,top_level_checkpoint_keys,state_dict_key_count,tensor_parameter_count,mutable_buffer_key_count,mutable_buffer_tensor_element_count,checkpoint_tensor_element_count,dtype_distribution,lora,adaptformer,np_head,hv_head,nt_head,decoder_modules,likely_tissue,seed,configuration_method,matching_yaml_config,appears_complete,exact_duplicate_of,reported_in_paper,recommended_action,audit_note
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN_adapter.pth,34273918,8ab068daf7ea5cfe92ad245fd779280040032818ebc6dabdabf2802f6f661c99,3f8c1e582f364a1610a979d18e4a1e2361d5fc90393d4c031cf880a934e9be03,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,471,8460874,105,19171,8480045,"{""float32"":541,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,43,lora_adaptformer:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31956368,7b5410fdceb94d541862bb2ebf000a5629c1f5b1efd2f90c953dfb59be39f237,9d5ffa23c3489062f34a8ad04e46bba8fc340ae2a531108025892d3c89805f19,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,42,lora_adaptformer:heads_only,configs/release/compayl2026/klt/training_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,true,,true,release,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,31956368,123ad536ac9bab1a655bad4de91d044965c3cd9c0d399c1972b246179485fd3f,635488a3d9d07626e40811d0ddd276a64f6ced3f855a188c0db4656df46c1157,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,43,lora_adaptformer:heads_only,configs/release/compayl2026/klt/training_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN.yaml,true,,true,release,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN_adapter.pth,33385360,609a950dfbf274f39455efba022ba9e1fea053713d78ce576077eb0aeb2cb095,8350cc76fb901c5757363ef8fd525467438abd3379e63a34d45b37c1a2ffd8ba,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,328,8261291,105,19171,8280462,"{""float32"":398,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,42,lora_adaptformer:last_stage,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN_adapter.pth,33385360,cf81b18e2cf67e3b32633d579f78bbdd4c49ee7b213c1fe0e3a901b5984a134e,f4e0ad6f920f9d6f6b60e209070f1016ff18e7172457aa1cf2a568d937e185c8,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,328,8261291,105,19171,8280462,"{""float32"":398,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,43,lora_adaptformer:last_stage,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed44_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed44_CLEAN_adapter.pth,33385360,217e1f7c6ae7b8deef2f04dedbe164ca9d8c8499cea5f3c341c50750572df4d7,4508b08fac0ccda61d7e2f7589b830146c89caa0bcee7c4f5fc2ceedfc98064c,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,328,8261291,105,19171,8280462,"{""float32"":398,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,44,lora_adaptformer:last_stage,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_np_hv_heads_nt_all_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_np_hv_heads_nt_all_lr5e-5_e10_seed42_CLEAN_adapter.pth,92296896,8267c31af7baf0f603dbe1dcb82facfec24195d7cacce8acf1941bd26d8c8023,64888d507fbbc463cf2d802f3a6d971331718f778b4d88a52fc4967618f9d140,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,340,22986219,105,19171,23005390,"{""float32"":410,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,42,lora_adaptformer:np_hv_heads_nt_all,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_nt_header1_np_hv_heads_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_nt_header1_np_hv_heads_lr5e-5_e10_seed42_CLEAN_adapter.pth,32112436,94ee2134b38c3112ce74cd73f32406b9054513981f4cb001e790ef5692b1a492,6a1bb83393146d6a20d5bdea54f082e94e5b7da6b0f8cbd8c13f459ba73522a1,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,300,7945835,105,19171,7965006,"{""float32"":370,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,42,lora_adaptformer:nt_header1_np_hv_heads,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_r8_a8_decoder_frozen_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_r8_a8_decoder_frozen_lr5e-5_e10_seed42_CLEAN_adapter.pth,5445122,b1b7983d8c286ed52a07a1b45ff6fecda46db8a8f1c9b2195aabc9c84b595cd7,6d838d41865e139f9e2aba12c0d986a034879c695a24512df78ec06aeb67da88,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,128,1310720,105,19171,1329891,"{""float32"":198,""int64"":35}",true,false,true,true,true,true,KidneyLiverTonsil,42,lora:none,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,29382118,396b0a9f2aedd8c8a9f296ba7babf8b10c7a7c9358bbff6e42856389bebf711b,7b56408be291d688c1f01b441de11f1809eb61a108061fe3570df39fb1427d26,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,503,7233130,105,19171,7252301,"{""float32"":573,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,42,vera_adaptformer:conv_adapters,,true,,false,archive locally,
