protocol,backbone,method,seed,fold,slide_id,tissue,num_patches,bPQ,mPQ,F1det,F1type,taxonomy_metrics_valid,source,epithelial_f1,epithelial_matched_true_support,epithelial_total_true_support,immune_f1,immune_matched_true_support,immune_total_true_support,stromal_f1,stromal_matched_true_support,stromal_total_true_support,melanocyte_f1,melanocyte_matched_true_support,melanocyte_total_true_support,other_f1,other_matched_true_support,other_total_true_support
slide-independent,CellViT-256,Frozen,42,A,tonsil_s1,Tonsil,9879,0.4185106562,NA,0.8298427271,NA,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,CellViT-256,Selected PEFT,42,A,kidney_s1,Kidney,4449,0.4980640503,0.120196792,0.8362200589,0.2899467732,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.2234905824,12776,17581,0.4561759246,50670,58351,0.4048501302,21128,26579,0,0,0,0.0752704556,1128,2095
slide-independent,CellViT-256,Selected PEFT,42,A,liver_s1,Liver,9166,0.5049389529,0.2184166798,0.8347364544,0.3540604168,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.7632488989,142682,175530,0.1171259581,54486,66141,0.5146982483,59733,72590,0,0,0,0.0211685618,609,1119
slide-independent,CellViT-256,Selected PEFT,42,A,tonsil_s1,Tonsil,9879,0.4211806629,0.1961772088,0.8188426572,0.5151272466,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.6043129217,65047,82599,0.8178953708,423280,519575,0.4939693642,122737,160529,0,0,0,0.1443313297,21673,38389
slide-independent,CellViT-256,FullFT,42,A,kidney_s1,Kidney,4449,0.5655151313,0.1453063705,0.8603340364,0.3001921235,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.2265259148,12850,17586,0.3939367104,51874,58401,0.440361675,21063,26626,0,0,0,0.139944194,1118,2102
slide-independent,CellViT-256,FullFT,42,A,liver_s1,Liver,9166,0.5687535222,0.1971893401,0.8568854266,0.3040478717,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.5391047386,144530,175496,0.0769529362,55764,66156,0.5614942465,60248,72615,0,0,0,0.0386395653,595,1124
slide-independent,CellViT-256,FullFT,42,A,tonsil_s1,Tonsil,9879,0.4327801076,0.209917565,0.8242383957,0.5138808329,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.6402472367,63756,82776,0.8353088867,426385,519672,0.5036205805,118810,160551,0,0,0,0.0763466278,17481,38425
slide-independent,SAM-H,Frozen,42,B,kidney_s0,Kidney,6723,0.5884793475,NA,0.8798635941,NA,False,run/sthelar40x_klt_5class_slideind_foldB_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,SAM-H,Frozen,42,B,liver_s0,Liver,9756,0.5545757474,NA,0.7946147723,NA,False,run/sthelar40x_klt_5class_slideind_foldB_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,SAM-H,Frozen,42,B,tonsil_s0,Tonsil,9856,0.5366163548,NA,0.8538879417,NA,False,run/sthelar40x_klt_5class_slideind_foldB_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,SAM-H,Selected PEFT,42,B,kidney_s0,Kidney,6723,0.6409466437,0.2371887682,0.9035128487,0.3537210989,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.6359620939,94510,106830,0.2763746711,16649,19734,0.5022720727,47665,55119,0,0,0,0.000275558,7256,9918
slide-independent,SAM-H,Selected PEFT,42,B,liver_s0,Liver,9756,0.6256703007,0.211969124,0.897740993,0.3121480675,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.7725391448,115644,130042,0.0777254802,43250,50651,0.3983276451,37102,46356,0,0,0,0,1299,2569
slide-independent,SAM-H,Selected PEFT,42,B,tonsil_s0,Tonsil,9856,0.5722548061,0.2442942914,0.8493355788,0.4539982652,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.6232889029,116714,140515,0.8662313518,664098,795858,0.3264728062,158070,191136,0,0,0,0,6556,11136
