protocol,scope,backbone,method,seed,fold,slide_id,class,taxonomy_metrics_valid,source,f1,precision,recall,matched_true_support,matched_pred_support,unmatched_true,unmatched_pred,total_true_support,total_pred_support
slide-independent,fold,SAM-H,NT-header1,42,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.7491056621,0.810741031,0.6961796501,534951,459360,109317,62595,644268,521955
slide-independent,fold,SAM-H,NT-header1,42,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.507690599,0.4090893923,0.668917042,201596,329637,58371,35169,259967,364806
slide-independent,fold,SAM-H,NT-header1,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,SAM-H,NT-header1,42,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.083392985,0.0644857744,0.1179866316,19748,36132,21967,6667,41715,42799
slide-independent,fold,SAM-H,NT-header1,43,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T175805_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.4339028831,0.6713871242,0.3205258962,224531,107193,51396,15734,275927,122927
slide-independent,fold,SAM-H,NT-header1,43,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T175805_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.7099422099,0.7613143503,0.6650648171,536047,468277,108172,67890,644219,536167
slide-independent,fold,SAM-H,NT-header1,43,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T175805_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.4960757681,0.3762238827,0.7279872747,203689,394135,56113,47461,259802,441596
slide-independent,fold,SAM-H,NT-header1,43,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T175805_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,SAM-H,NT-header1,43,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T175805_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.145741596,0.1701247414,0.1274717017,21291,15953,20244,3255,41535,19208
slide-independent,fold,SAM-H,FullFT,42,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0.4148635966,0.6918599173,0.2962539563,223062,95515,53500,13894,276562,109409
slide-independent,fold,SAM-H,FullFT,42,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0.7038960725,0.6968306692,0.7111062204,531621,542512,112910,80196,644531,622708
slide-independent,fold,SAM-H,FullFT,42,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0.529046558,0.4286359007,0.6908924665,197957,319075,62207,41577,260164,360652
slide-independent,fold,SAM-H,FullFT,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,SAM-H,FullFT,42,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0.1249755398,0.146259542,0.1090991914,17562,13100,24195,3394,41757,16494
slide-independent,fold,SAM-H,FullFT,43,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0.5748996208,0.756226022,0.4637117269,222317,136323,53938,16538,276255,152861
slide-independent,fold,SAM-H,FullFT,43,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0.7176193015,0.7697698171,0.6720866446,532659,465065,111774,65384,644433,530449
slide-independent,fold,SAM-H,FullFT,43,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0.5328266899,0.4277680693,0.7062893427,200323,330754,59732,42524,260055,373278
slide-independent,fold,SAM-H,FullFT,43,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,SAM-H,FullFT,43,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0.1324260747,0.0969733404,0.2087397969,20092,43249,21558,7228,41650,50477
