record_type,scope,backbone,method,tissue,fold,split,slide_id,seed,class_name,true_class,predicted_class,count,patch_count,annotated_cell_count,nuclei_per_patch,class_entropy_bits,immune_count,immune_frequency,stromal_count,stromal_frequency,epithelial_count,epithelial_frequency,melanocyte_count,melanocyte_frequency,other_count,other_frequency,total_variation,jensen_shannon_bits,rare_or_absent_train_present_test,Dice,Jaccard,bPQ,mPQ,F1det,F1type,Dice_mean,Dice_sd,Jaccard_mean,Jaccard_sd,bPQ_mean,bPQ_sd,mPQ_mean,mPQ_sd,F1det_mean,F1det_sd,F1type_mean,F1type_sd,Dice_difference_B_minus_A,Jaccard_difference_B_minus_A,bPQ_difference_B_minus_A,mPQ_difference_B_minus_A,F1det_difference_B_minus_A,F1type_difference_B_minus_A,class_f1,class_f1_mean,class_f1_sd,matched_support,total_true_support,predicted_count,predicted_frequency,bPQ_rank,mPQ_rank,F1det_rank,F1type_rank,strong_detection_weak_typing,dominant_confusion,dominant_confusion_count,checkpoint_policy,source_path,note
slide_composition,tissue-specific,,,Liver,B,test,liver_s0,,,,,,20427,486883,23.835267048514222,1.4865083227296472,107969,0.2217555346972476,98569,0.202449048333994,274899,0.5646099781672393,0,0.0,5446,0.011185438801519051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_liver_5class_slideind_foldB_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Lung,A,train,lung_s1,,,,,,9544,287894,30.164920368818105,1.825087619551229,131813,0.4578525429498357,62222,0.21612815828047824,61096,0.21221699653344633,0,0.0,32763,0.11380230223623973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_lung_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Lung,A,test,lung_s3,,,,,,20621,563193,27.311624072547403,1.8356362425193318,197303,0.35032928321197176,177551,0.3152578245823368,147577,0.26203628241118054,0,0.0,40762,0.07237660979451094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_lung_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Lung,B,train,lung_s3,,,,,,19547,540776,27.66542180385737,1.8346339180637619,192842,0.35660236401023715,168226,0.31108259242274067,140379,0.2595880734352116,0,0.0,39329,0.07272697013181058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_lung_5class_slideind_foldB_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Lung,B,test,lung_s1,,,,,,10938,325329,29.743006034009873,1.8250541144803876,147593,0.453673050973015,72882,0.22402552493014763,69312,0.21305201811089697,0,0.0,35542,0.10924940598594039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_lung_5class_slideind_foldB_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Ovary,A,train,ovary_s0,,,,,,9770,503209,51.505527123848516,1.464499794558353,105133,0.20892511858889645,62037,0.1232827711746014,314259,0.6245098954907404,0,0.0,21780,0.0432822147457617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_ovary_5class_slideind_foldA_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Ovary,A,test,ovary_s1,,,,,,25498,831152,32.59675268648522,1.679165892157956,91824,0.11047798717924039,309105,0.3718994840895528,368980,0.443938052245558,0,0.0,61243,0.07368447648564884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_ovary_5class_slideind_foldA_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Ovary,B,train,ovary_s1,,,,,,23387,737113,31.518065591995555,1.6931197642865612,82059,0.11132485792544698,286086,0.38811688302878933,311964,0.42322411896140755,0,0.0,57004,0.07733414008435613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_ovary_5class_slideind_foldB_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Ovary,B,test,ovary_s0,,,,,,10039,506647,50.467875286383105,1.4733052669073319,106101,0.20941799714594184,62845,0.12404099895982805,314942,0.6216201813096692,0,0.0,22759,0.04492082258456085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_ovary_5class_slideind_foldB_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Pancreatic,A,train,pancreatic_s0,,,,,,23219,406381,17.50208880658082,1.7330727738018767,128120,0.3152706450350779,67935,0.16717070926052152,183522,0.4516008376375864,0,0.0,26804,0.06595780806681414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_pancreatic_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Pancreatic,A,test,pancreatic_s1,,,,,,12647,476553,37.681110144698344,1.9641632887446023,158384,0.3323533793722839,83635,0.17549989193227197,119554,0.2508724108336324,0,0.0,114980,0.2412743178618118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_pancreatic_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
