backbone,method,tissue,fold,seed,train_slide,test_slide,test_patches,test_true_support,Dice,bPQ,mPQ,F1det,F1type,immune_F1,immune_matched_support,immune_total_true_support,stromal_F1,stromal_matched_support,stromal_total_true_support,epithelial_F1,epithelial_matched_support,epithelial_total_true_support,melanocyte_F1,melanocyte_matched_support,melanocyte_total_true_support,other_F1,other_matched_support,other_total_true_support,dominant_confusion,dominant_confusion_count,checkpoint_policy,source_inference_json
CellViT-256,Selected PEFT,Colon,A,42,colon_s1,colon_s2,11903,751168,0.7337421472857052,0.334595937807556,0.11509590912327305,0.7512879564035879,0.3301177928190146,0.4764903520414319,145424,195544,0.22863292856975737,23095,30511,0.5686840537692189,338259,510930,nan,0,0,0.04666383689564991,6658,14183,Epithelial->Immune,166212,checkpoint_10 TEST,run/sthelar40x_colon_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T102746_sthelar40x_colon_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Colon,B,42,colon_s2,colon_s1,18464,1170544,0.6358922708832655,0.23950914730519576,0.1078709396288322,0.7105189458167115,0.4724484029070593,0.43508518151594533,139394,205560,0.5016944481807236,204379,362553,0.8815444478813891,357126,585589,nan,0,0,0.07146953405017921,6618,16842,Stromal->Immune,96174,checkpoint_10 TEST,run/sthelar40x_colon_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T102746_sthelar40x_colon_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Kidney,A,42,kidney_s0,kidney_s1,4449,104053,0.7556044226085273,0.46812751383901174,0.09888927072998394,0.8338601450165909,0.21043416382209185,0.2814433661173712,50099,58172,0.3451014631535959,20753,26332,0.19021264200407806,12150,17483,nan,0,0,0.02497918401332223,975,2066,Immune->Stromal,30095,checkpoint_10 TEST,run/sthelar40x_kidney_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-30T014011_sthelar40x_kidney_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Kidney,B,42,kidney_s1,kidney_s0,6723,190866,0.8085176048747588,0.568279342749323,0.09647383181407689,0.8938342203284767,0.1726811290922512,0.11954287808773285,15930,19709,0.13497358252503747,46290,54995,0.40145028882372646,90647,106277,nan,0,0,0.03475776693250803,6318,9885,Epithelial->Immune,44356,checkpoint_10 TEST,run/sthelar40x_kidney_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T172314_sthelar40x_kidney_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Liver,A,42,liver_s0,liver_s1,9166,315573,0.7917732881628909,0.4793617855769644,0.07369064401690542,0.8324935736105297,0.1136170507515096,0.006192531431788328,52983,66172,0.3681963496663929,55171,72592,0.08007932190785713,138217,175685,nan,0,0,0.0,528,1124,Epithelial->Stromal,132257,checkpoint_10 TEST,run/sthelar40x_liver_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T182535_sthelar40x_liver_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Liver,B,42,liver_s1,liver_s0,20427,472117,0.8020192442567299,0.5721474362874098,0.25132797303600996,0.865265694695322,0.3963183053160058,0.43046085116388433,80035,104556,0.3535518464763748,68478,95611,0.8012605236237642,216927,266639,nan,0,0,0.0,2052,5311,Immune->Epithelial,42113,checkpoint_10 TEST,run/sthelar40x_liver_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T223640_sthelar40x_liver_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Lung,A,42,lung_s1,lung_s3,20621,550114,0.732243451420147,0.4125329544807951,0.14806639339802716,0.8296812063865726,0.40497631166994774,0.5715885478231656,155783,193054,0.5894493167565948,134549,173776,0.32032917611996403,114686,143632,nan,0,0,0.13853820598006644,24936,39652,Immune->Stromal,51043,checkpoint_10 TEST,run/sthelar40x_lung_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T132703_sthelar40x_lung_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Lung,B,42,lung_s3,lung_s1,10938,318148,0.794386346325961,0.4962732147087402,0.21682675832192097,0.8282021259499047,0.45456867340352497,0.7015803274041528,122131,144815,0.37648444926430225,55395,70978,0.6210353918670608,51187,67669,nan,0,0,0.11917452507858411,21500,34686,Stromal->Immune,34229,checkpoint_10 TEST,run/sthelar40x_lung_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-30T224946_sthelar40x_lung_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Ovary,A,42,ovary_s0,ovary_s1,25498,813312,0.7288156913698527,0.41263898034061675,0.19941216476684975,0.7845550765411455,0.515849515321896,0.34092152854222363,68367,89958,0.7509458590072022,220843,303337,0.8452506082303742,288146,360012,nan,0,0,0.12628006550778398,31500,60005,Epithelial->Immune,36525,checkpoint_10 TEST,run/sthelar40x_ovary_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-30T224946_sthelar40x_ovary_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Ovary,B,42,ovary_s1,ovary_s0,10039,496285,0.7437047729734807,0.41387138360008474,0.1477084260919149,0.8385342751034479,0.4262642008769628,0.3565796237725558,83750,104163,0.46468946868797284,47474,60936,0.6539252767417467,239064,309004,nan,0,0,0.2298624343055759,12391,22182,Epithelial->Immune,81463,checkpoint_10 TEST,run/sthelar40x_ovary_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T150207_sthelar40x_ovary_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Pancreatic,A,42,pancreatic_s0,pancreatic_s1,12647,466409,0.7100719495848977,0.350000842237304,0.09704965116516759,0.7362812908512673,0.23281018858929428,0.5734992606924756,110874,155402,0.2842624578751096,55932,81687,0.0673642822481305,76913,117095,nan,0,0,0.006114753541461426,55159,112225,Epithelial->Immune,54911,checkpoint_10 TEST,run/sthelar40x_pancreatic_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T162713_sthelar40x_pancreatic_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Pancreatic,B,42,pancreatic_s1,pancreatic_s0,25526,437152,0.6988663686732408,0.2997656451052011,0.10669691635303451,0.63032268481461,0.3150550236078917,0.4515033947623666,85293,138213,0.3208835704000114,41209,73108,0.4682529488579196,126744,197644,nan,0,0,0.019580180411269292,18945,28187,Epithelial->Stromal,77991,checkpoint_10 TEST,run/sthelar40x_pancreatic_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-30T224700_sthelar40x_pancreatic_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Skin,A,42,skin_s1,skin_s2,12790,199404,0.75044818365689,0.3944403251561227,0.08315026787098356,0.7087237727173719,0.13092129260129234,0.1930809290574762,65869,77698,0.2620456684588507,31147,38263,0.18948257655755016,8757,10678,0.008793074180953998,57943,72678,0.0012042147516307074,45,87,Immune->Other,38620,checkpoint_10 TEST,run/sthelar40x_skin_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T193035_sthelar40x_skin_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Skin,B,42,skin_s2,skin_s1,11209,176574,0.4757467864239892,0.22207527194210555,0.030554470541214955,0.6782002417667464,0.15049384125845072,0.016200035217467865,5491,7633,0.10639649580365801,25717,47418,0.6298726752711277,43428,60114,0.0,4264,5532,0.0,19808,55877,Stromal->Epithelial,24057,checkpoint_10 TEST,run/sthelar40x_skin_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T201343_sthelar40x_skin_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Tonsil,A,42,tonsil_s0,tonsil_s1,21083,1716066,0.7033756955146516,0.4091020760943788,0.176688549242164,0.8277590317540806,0.45865888864838666,0.7771289631233699,902934,1114971,0.47864151851737036,239720,340968,0.5788650729528064,131545,177080,nan,0,0,0.0,33826,83047,Immune->Stromal,156900,checkpoint_10 TEST,run/sthelar40x_tonsil_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T235644_sthelar40x_tonsil_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Tonsil,B,42,tonsil_s1,tonsil_s0,23067,2658310,0.7980686571092857,0.5273599211241206,0.22945257169163968,0.8632110181866615,0.49984770481691015,0.8393426400887315,1517287,1852833,0.4075994360707851,352126,445134,0.6903715809212525,262667,333755,nan,0,0,0.062077162186871454,10875,26588,Stromal->Immune,192828,checkpoint_10 TEST,run/sthelar40x_tonsil_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-30T002904_sthelar40x_tonsil_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
